dataset_id, x_axis_id, y_axis_id, x_axis_name, y_axis_name, title, length, width, global_row, global_col
1, 15, 2, Kurtosis, PC1, default title, 512, 512, 1, 3
1, 16, 2, Mean, PC1, default title, 512, 512, 2, 3
1, 17, 2, Median, PC1, default title, 512, 512, 3, 3
1, 18, 2, Mode, PC1, default title, 512, 512, 4, 3
1, 19, 2, Skewness, PC1, default title, 512, 512, 5, 3
1, 20, 2, StandardDeviation, PC1, default title, 512, 512, 6, 3
1, 21, 2, TContrast_Avg, PC1, default title, 512, 512, 7, 3
1, 22, 2, TContrast_Ortho_pc_value, PC1, default title, 512, 512, 8, 3
1, 23, 2, TContrast_pc_angle, PC1, default title, 512, 512, 9, 3
1, 24, 2, TContrast_pc_value, PC1, default title, 512, 512, 10, 3
1, 25, 2, TCorrelation_Avg, PC1, default title, 512, 512, 11, 3
1, 26, 2, TCorrelation_Ortho_pc_value, PC1, default title, 512, 512, 12, 3
1, 27, 2, TCorrelation_pc_angle, PC1, default title, 512, 512, 13, 3
1, 28, 2, TCorrelation_pc_value, PC1, default title, 512, 512, 14, 3
1, 29, 2, TDiffAvg_Avg, PC1, default title, 512, 512, 15, 3
1, 30, 2, TDiffAvg_Ortho_pc_value, PC1, default title, 512, 512, 16, 3
1, 31, 2, TDiffAvg_pc_angle, PC1, default title, 512, 512, 17, 3
1, 32, 2, TDiffAvg_pc_value, PC1, default title, 512, 512, 18, 3
1, 33, 2, TDiffEnt_Avg, PC1, default title, 512, 512, 19, 3
1, 34, 2, TDiffEnt_Ortho_pc_value, PC1, default title, 512, 512, 20, 3
1, 35, 2, TDiffEnt_pc_angle, PC1, default title, 512, 512, 21, 3
1, 36, 2, TDiffEnt_pc_value, PC1, default title, 512, 512, 22, 3
1, 37, 2, TDiffVariance_Avg, PC1, default title, 512, 512, 23, 3
1, 38, 2, TDiffVariance_Ortho_pc_value, PC1, default title, 512, 512, 24, 3
1, 39, 2, TDiffVariance_pc_angle, PC1, default title, 512, 512, 25, 3
1, 40, 2, TDiffVariance_pc_value, PC1, default title, 512, 512, 26, 3
1, 41, 2, TEnergy_Avg, PC1, default title, 512, 512, 27, 3
1, 42, 2, TEnergy_Ortho_pc_value, PC1, default title, 512, 512, 28, 3
1, 43, 2, TEnergy_pc_angle, PC1, default title, 512, 512, 29, 3
1, 44, 2, TEnergy_pc_value, PC1, default title, 512, 512, 30, 3
1, 45, 2, TEnt_Avg, PC1, default title, 512, 512, 31, 3
1, 46, 2, TEnt_Ortho_pc_value, PC1, default title, 512, 512, 32, 3
1, 47, 2, TEnt_pc_angle, PC1, default title, 512, 512, 33, 3
1, 48, 2, TEnt_pc_value, PC1, default title, 512, 512, 34, 3
1, 49, 2, THomogeneity_Avg, PC1, default title, 512, 512, 35, 3
1, 50, 2, THomogeneity_Ortho_pc_value, PC1, default title, 512, 512, 36, 3
1, 51, 2, THomogeneity_pc_angle, PC1, default title, 512, 512, 37, 3
1, 52, 2, THomogeneity_pc_value, PC1, default title, 512, 512, 38, 3
1, 53, 2, TInvDiffMoment_Avg, PC1, default title, 512, 512, 39, 3
1, 54, 2, TInvDiffMoment_Ortho_pc_value, PC1, default title, 512, 512, 40, 3
1, 55, 2, TInvDiffMoment_pc_angle, PC1, default title, 512, 512, 41, 3
1, 56, 2, TInvDiffMoment_pc_value, PC1, default title, 512, 512, 42, 3
1, 57, 2, TSumAvg_Avg, PC1, default title, 512, 512, 43, 3
1, 58, 2, TSumAvg_Ortho_pc_value, PC1, default title, 512, 512, 44, 3
1, 59, 2, TSumAvg_pc_angle, PC1, default title, 512, 512, 45, 3
1, 60, 2, TSumAvg_pc_value, PC1, default title, 512, 512, 46, 3
1, 61, 2, TSumEnt_Avg, PC1, default title, 512, 512, 47, 3
1, 62, 2, TSumEnt_Ortho_pc_value, PC1, default title, 512, 512, 48, 3
1, 63, 2, TSumEnt_pc_angle, PC1, default title, 512, 512, 49, 3
1, 64, 2, TSumEnt_pc_value, PC1, default title, 512, 512, 50, 3
1, 65, 2, TSumVariance_Avg, PC1, default title, 512, 512, 51, 3
1, 66, 2, TSumVariance_Ortho_pc_value, PC1, default title, 512, 512, 0, 4
1, 67, 2, TSumVariance_pc_angle, PC1, default title, 512, 512, 1, 4
1, 68, 2, TSumVariance_pc_value, PC1, default title, 512, 512, 2, 4
1, 69, 2, TVariance_Avg, PC1, default title, 512, 512, 3, 4
1, 70, 2, TVariance_Ortho_pc_value, PC1, default title, 512, 512, 4, 4
1, 71, 2, TVariance_pc_angle, PC1, default title, 512, 512, 5, 4
1, 72, 2, TVariance_pc_value, PC1, default title, 512, 512, 6, 4
1, 73, 2, concentration, PC1, default title, 512, 512, 7, 4
1, 4, 3, PC3, PC2, default title, 512, 512, 8, 4
1, 5, 3, PC4, PC2, default title, 512, 512, 9, 4
1, 6, 3, PC5, PC2, default title, 512, 512, 10, 4
1, 7, 3, PC6, PC2, default title, 512, 512, 11, 4
1, 8, 3, PC7, PC2, default title, 512, 512, 12, 4
1, 9, 3, PC8, PC2, default title, 512, 512, 13, 4
1, 10, 3, PC9, PC2, default title, 512, 512, 14, 4
1, 11, 3, PC10, PC2, default title, 512, 512, 15, 4
1, 12, 3, Entropy, PC2, default title, 512, 512, 16, 4
1, 13, 3, Hyperflatness, PC2, default title, 512, 512, 17, 4
1, 14, 3, Hyperskewness, PC2, default title, 512, 512, 18, 4
1, 15, 3, Kurtosis, PC2, default title, 512, 512, 19, 4
1, 16, 3, Mean, PC2, default title, 512, 512, 20, 4
1, 17, 3, Median, PC2, default title, 512, 512, 21, 4
1, 18, 3, Mode, PC2, default title, 512, 512, 22, 4
1, 19, 3, Skewness, PC2, default title, 512, 512, 23, 4
1, 20, 3, StandardDeviation, PC2, default title, 512, 512, 24, 4
1, 21, 3, TContrast_Avg, PC2, default title, 512, 512, 25, 4
1, 22, 3, TContrast_Ortho_pc_value, PC2, default title, 512, 512, 26, 4
1, 23, 3, TContrast_pc_angle, PC2, default title, 512, 512, 27, 4
1, 24, 3, TContrast_pc_value, PC2, default title, 512, 512, 28, 4
1, 25, 3, TCorrelation_Avg, PC2, default title, 512, 512, 29, 4
1, 26, 3, TCorrelation_Ortho_pc_value, PC2, default title, 512, 512, 30, 4
1, 27, 3, TCorrelation_pc_angle, PC2, default title, 512, 512, 31, 4
1, 28, 3, TCorrelation_pc_value, PC2, default title, 512, 512, 32, 4
1, 29, 3, TDiffAvg_Avg, PC2, default title, 512, 512, 33, 4
1, 30, 3, TDiffAvg_Ortho_pc_value, PC2, default title, 512, 512, 34, 4
1, 31, 3, TDiffAvg_pc_angle, PC2, default title, 512, 512, 35, 4
1, 32, 3, TDiffAvg_pc_value, PC2, default title, 512, 512, 36, 4
1, 33, 3, TDiffEnt_Avg, PC2, default title, 512, 512, 37, 4
1, 34, 3, TDiffEnt_Ortho_pc_value, PC2, default title, 512, 512, 38, 4
1, 35, 3, TDiffEnt_pc_angle, PC2, default title, 512, 512, 39, 4
1, 36, 3, TDiffEnt_pc_value, PC2, default title, 512, 512, 40, 4
1, 37, 3, TDiffVariance_Avg, PC2, default title, 512, 512, 41, 4
1, 38, 3, TDiffVariance_Ortho_pc_value, PC2, default title, 512, 512, 42, 4
1, 39, 3, TDiffVariance_pc_angle, PC2, default title, 512, 512, 43, 4
1, 40, 3, TDiffVariance_pc_value, PC2, default title, 512, 512, 44, 4
1, 41, 3, TEnergy_Avg, PC2, default title, 512, 512, 45, 4
1, 42, 3, TEnergy_Ortho_pc_value, PC2, default title, 512, 512, 46, 4
1, 43, 3, TEnergy_pc_angle, PC2, default title, 512, 512, 47, 4
1, 44, 3, TEnergy_pc_value, PC2, default title, 512, 512, 48, 4
1, 45, 3, TEnt_Avg, PC2, default title, 512, 512, 49, 4
1, 46, 3, TEnt_Ortho_pc_value, PC2, default title, 512, 512, 50, 4
1, 47, 3, TEnt_pc_angle, PC2, default title, 512, 512, 51, 4
1, 48, 3, TEnt_pc_value, PC2, default title, 512, 512, 0, 5
1, 49, 3, THomogeneity_Avg, PC2, default title, 512, 512, 1, 5
1, 50, 3, THomogeneity_Ortho_pc_value, PC2, default title, 512, 512, 2, 5
1, 51, 3, THomogeneity_pc_angle, PC2, default title, 512, 512, 3, 5
1, 52, 3, THomogeneity_pc_value, PC2, default title, 512, 512, 4, 5
1, 53, 3, TInvDiffMoment_Avg, PC2, default title, 512, 512, 5, 5
1, 54, 3, TInvDiffMoment_Ortho_pc_value, PC2, default title, 512, 512, 6, 5
1, 55, 3, TInvDiffMoment_pc_angle, PC2, default title, 512, 512, 7, 5
1, 56, 3, TInvDiffMoment_pc_value, PC2, default title, 512, 512, 8, 5
1, 57, 3, TSumAvg_Avg, PC2, default title, 512, 512, 9, 5
1, 58, 3, TSumAvg_Ortho_pc_value, PC2, default title, 512, 512, 10, 5
1, 59, 3, TSumAvg_pc_angle, PC2, default title, 512, 512, 11, 5
1, 60, 3, TSumAvg_pc_value, PC2, default title, 512, 512, 12, 5
1, 61, 3, TSumEnt_Avg, PC2, default title, 512, 512, 13, 5
1, 62, 3, TSumEnt_Ortho_pc_value, PC2, default title, 512, 512, 14, 5
1, 63, 3, TSumEnt_pc_angle, PC2, default title, 512, 512, 15, 5
1, 64, 3, TSumEnt_pc_value, PC2, default title, 512, 512, 16, 5
1, 65, 3, TSumVariance_Avg, PC2, default title, 512, 512, 17, 5
1, 66, 3, TSumVariance_Ortho_pc_value, PC2, default title, 512, 512, 18, 5
1, 67, 3, TSumVariance_pc_angle, PC2, default title, 512, 512, 19, 5
1, 68, 3, TSumVariance_pc_value, PC2, default title, 512, 512, 20, 5
1, 69, 3, TVariance_Avg, PC2, default title, 512, 512, 21, 5
1, 70, 3, TVariance_Ortho_pc_value, PC2, default title, 512, 512, 22, 5
1, 71, 3, TVariance_pc_angle, PC2, default title, 512, 512, 23, 5
1, 72, 3, TVariance_pc_value, PC2, default title, 512, 512, 24, 5
1, 73, 3, concentration, PC2, default title, 512, 512, 25, 5
1, 5, 4, PC4, PC3, default title, 512, 512, 26, 5
1, 6, 4, PC5, PC3, default title, 512, 512, 27, 5
1, 7, 4, PC6, PC3, default title, 512, 512, 28, 5
1, 8, 4, PC7, PC3, default title, 512, 512, 29, 5
1, 9, 4, PC8, PC3, default title, 512, 512, 30, 5
1, 10, 4, PC9, PC3, default title, 512, 512, 31, 5
1, 11, 4, PC10, PC3, default title, 512, 512, 32, 5
1, 12, 4, Entropy, PC3, default title, 512, 512, 33, 5
1, 13, 4, Hyperflatness, PC3, default title, 512, 512, 34, 5
1, 14, 4, Hyperskewness, PC3, default title, 512, 512, 35, 5
1, 15, 4, Kurtosis, PC3, default title, 512, 512, 36, 5
1, 16, 4, Mean, PC3, default title, 512, 512, 37, 5
1, 17, 4, Median, PC3, default title, 512, 512, 38, 5
1, 18, 4, Mode, PC3, default title, 512, 512, 39, 5
1, 19, 4, Skewness, PC3, default title, 512, 512, 40, 5
1, 20, 4, StandardDeviation, PC3, default title, 512, 512, 41, 5
1, 21, 4, TContrast_Avg, PC3, default title, 512, 512, 42, 5
1, 22, 4, TContrast_Ortho_pc_value, PC3, default title, 512, 512, 43, 5
1, 23, 4, TContrast_pc_angle, PC3, default title, 512, 512, 44, 5
1, 24, 4, TContrast_pc_value, PC3, default title, 512, 512, 45, 5
1, 25, 4, TCorrelation_Avg, PC3, default title, 512, 512, 46, 5
1, 26, 4, TCorrelation_Ortho_pc_value, PC3, default title, 512, 512, 47, 5
1, 27, 4, TCorrelation_pc_angle, PC3, default title, 512, 512, 48, 5
1, 28, 4, TCorrelation_pc_value, PC3, default title, 512, 512, 49, 5
1, 29, 4, TDiffAvg_Avg, PC3, default title, 512, 512, 50, 5
1, 30, 4, TDiffAvg_Ortho_pc_value, PC3, default title, 512, 512, 51, 5
1, 31, 4, TDiffAvg_pc_angle, PC3, default title, 512, 512, 0, 6
1, 32, 4, TDiffAvg_pc_value, PC3, default title, 512, 512, 1, 6
1, 33, 4, TDiffEnt_Avg, PC3, default title, 512, 512, 2, 6
1, 34, 4, TDiffEnt_Ortho_pc_value, PC3, default title, 512, 512, 3, 6
1, 35, 4, TDiffEnt_pc_angle, PC3, default title, 512, 512, 4, 6
1, 36, 4, TDiffEnt_pc_value, PC3, default title, 512, 512, 5, 6
1, 37, 4, TDiffVariance_Avg, PC3, default title, 512, 512, 6, 6
1, 38, 4, TDiffVariance_Ortho_pc_value, PC3, default title, 512, 512, 7, 6
1, 39, 4, TDiffVariance_pc_angle, PC3, default title, 512, 512, 8, 6
1, 40, 4, TDiffVariance_pc_value, PC3, default title, 512, 512, 9, 6
1, 41, 4, TEnergy_Avg, PC3, default title, 512, 512, 10, 6
1, 42, 4, TEnergy_Ortho_pc_value, PC3, default title, 512, 512, 11, 6
1, 43, 4, TEnergy_pc_angle, PC3, default title, 512, 512, 12, 6
1, 44, 4, TEnergy_pc_value, PC3, default title, 512, 512, 13, 6
1, 45, 4, TEnt_Avg, PC3, default title, 512, 512, 14, 6
1, 46, 4, TEnt_Ortho_pc_value, PC3, default title, 512, 512, 15, 6
1, 47, 4, TEnt_pc_angle, PC3, default title, 512, 512, 16, 6
1, 48, 4, TEnt_pc_value, PC3, default title, 512, 512, 17, 6
1, 49, 4, THomogeneity_Avg, PC3, default title, 512, 512, 18, 6
1, 50, 4, THomogeneity_Ortho_pc_value, PC3, default title, 512, 512, 19, 6
1, 51, 4, THomogeneity_pc_angle, PC3, default title, 512, 512, 20, 6
1, 52, 4, THomogeneity_pc_value, PC3, default title, 512, 512, 21, 6
1, 53, 4, TInvDiffMoment_Avg, PC3, default title, 512, 512, 22, 6
1, 54, 4, TInvDiffMoment_Ortho_pc_value, PC3, default title, 512, 512, 23, 6
1, 55, 4, TInvDiffMoment_pc_angle, PC3, default title, 512, 512, 24, 6
1, 56, 4, TInvDiffMoment_pc_value, PC3, default title, 512, 512, 25, 6
1, 57, 4, TSumAvg_Avg, PC3, default title, 512, 512, 26, 6
1, 58, 4, TSumAvg_Ortho_pc_value, PC3, default title, 512, 512, 27, 6
1, 59, 4, TSumAvg_pc_angle, PC3, default title, 512, 512, 28, 6
1, 60, 4, TSumAvg_pc_value, PC3, default title, 512, 512, 29, 6
1, 61, 4, TSumEnt_Avg, PC3, default title, 512, 512, 30, 6
1, 62, 4, TSumEnt_Ortho_pc_value, PC3, default title, 512, 512, 31, 6
1, 63, 4, TSumEnt_pc_angle, PC3, default title, 512, 512, 32, 6
1, 64, 4, TSumEnt_pc_value, PC3, default title, 512, 512, 33, 6
1, 65, 4, TSumVariance_Avg, PC3, default title, 512, 512, 34, 6
1, 66, 4, TSumVariance_Ortho_pc_value, PC3, default title, 512, 512, 35, 6
